score,comments,crossposts,time_in_minutes
27575,737,3,1020
26127,509,3,720
25252,422,15,30
21574,460,2,840
19864,374,20,1380
19129,314,3,990
18450,484,4,990
17725,496,0,30
17294,187,3,900
16209,638,1,420
22974,443,1,360
4380,801,1,630
4269,384,0,30
3880,353,0,480
3613,949,5,1230
3286,391,0,240
3123,226,5,1170
3080,93,0,1290
3054,94,0,930
2975,597,0,0
13720,170,0,390
4969,247,1,840
4598,212,3,990
3847,113,0,720
3646,96,0,810
2996,114,0,870
2999,211,4,1230
2897,66,1,690
2544,66,1,1050
2461,208,0,1110
10561,455,0,960
7987,177,22,270
7787,680,1,90
7701,250,0,1410
7642,188,7,1020
7128,426,0,1350
6095,532,0,1020
5380,201,4,1260
5357,152,1,930
5204,431,0,270
12174,296,0,600
11763,460,0,510
10976,212,1,660
10118,345,0,600
8105,475,1,1140
7327,154,1,660
6987,108,0,1140
6535,47,0,300
5921,701,2,660
5622,374,8,480
15130,217,1,780
13946,385,5,810
13951,337,5,1170
13576,787,0,120
12879,158,2,1020
12800,355,3,840
12672,389,0,690
12428,206,2,750
12397,142,1,900
12372,183,1,810
7550,191,2,1020
6508,248,4,390
6404,44,3,330
6081,218,1,1290
5553,107,0,1350
5428,91,0,570
5411,142,2,270
5348,58,1,1410
5270,59,0,1080
5222,38,2,300
43724,2071,5,1380
34025,7539,6,60
27929,1541,6,540
24931,2458,1,1350
22300,7277,5,780
21841,2378,2,1260
21190,2262,3,1260
21055,1,27,1410
20934,1722,0,780
20894,2329,2,1110
16851,635,17,300
13365,513,1,810
12865,1224,1,990
12733,316,7,660
12596,535,0,180
12166,190,0,1140
11001,1004,0,30
10659,468,0,1380
10252,605,1,1080
12828,1309,2,240
5460,432,0,1230
5370,209,0,690
4264,423,1,1380
4229,208,0,900
3999,298,0,510
3755,330,4,1110
3293,244,0,870
3221,166,0,810
17011,171,7,720
11817,1129,0,810
8744,1720,4,1110
8709,60,8,630
6546,168,0,1230
5425,204,0,300
5296,583,2,150
5274,56,0,1380
5095,60,1,270
5024,509,4,780
3932,88,3,1140
3250,109,0,810
2833,130,1,270
2834,127,4,840
2800,64,2,1200
2705,65,4,420
2639,108,2,1110
2466,44,2,90
2392,42,2,1140
2391,136,0,930
12822,357,3,1410
3080,308,0,780
2763,243,0,690
2069,85,0,60
2065,81,0,750
2046,276,0,1230
1984,424,0,900
1875,155,1,990
1862,506,1,810
1856,256,0,120
29902,1691,9,330
10278,385,1,1260
8741,768,14,1110
6624,646,0,0
6301,112,4,1050
6126,191,2,870
5815,565,1,540
5299,229,0,360
4870,345,1,870
4648,107,5,630
32147,81,1,1260
30673,1061,0,1410
23937,535,0,1410
21885,614,1,750
18081,434,2,60
17279,398,1,1260
14349,466,0,1380
14092,197,3,810
13427,229,1,870
13222,355,0,1230
6967,190,1,900
6760,151,0,810
6179,259,1,930
5864,277,3,1290
5480,76,0,60
5295,566,0,180
5232,105,0,930
4432,88,1,900
4207,140,0,930
4136,212,0,1230
44212,522,1,930
17959,599,0,1170
11175,248,4,1230
6971,120,0,930
6019,140,0,1080
5476,168,1,1020
4774,277,0,180
4392,458,0,30
104355,4111,6,1410
95818,1524,27,900
95416,1381,23,750
87645,1573,5,1110
87201,845,53,1290
83171,1976,4,1320
82984,3781,8,1290
80975,1256,8,0
80776,1361,10,120
79034,1363,7,1290
53638,1130,124,990
47718,842,10,600
46528,1005,6,1020
37557,887,7,1290
33856,727,2,1260
31063,500,8,1230
28620,602,6,840
25900,571,4,1200
25039,420,4,1020
24419,623,1,720
75378,1218,0,1380
74541,815,0,1140
72945,10064,3,1260
70601,562,0,1200
69956,548,0,1170
68619,347,0,1140
67823,1247,6,1350
66409,526,0,1140
65287,576,0,1170
65049,603,0,780
49425,376,0,1320
33227,647,7,60
24598,291,2,1170
18821,382,0,1200
18485,4485,1,210
16335,672,0,1230
11269,817,0,180
10923,848,0,60
10281,431,2,60
9435,498,0,210
6298,286,2,30
5485,689,37,1350
5051,1579,45,60
5049,111,0,90
4942,209,1,1290
4648,130,1,720
4624,239,0,1020
4407,613,0,780
4284,457,0,60
4133,176,7,30
46768,475,34,660
24069,865,7,750
22869,248,4,1110
21646,332,2,120
21412,201,2,900
21335,540,0,1020
19746,820,4,720
19665,345,5,990
6443,530,11,600
6271,299,0,1200
5772,140,0,1350
5700,487,0,1170
5222,668,1,0
5148,118,0,1380
4514,317,0,720
4314,419,2,840
3931,155,0,930
3574,511,0,990
39045,2172,8,540
35637,219,3,1200
22445,78,1,90
21813,134,5,660
21758,127,6,630
21345,157,0,120
21267,211,0,360
21021,150,3,630
18609,232,0,780
18471,148,1,390
64124,1146,4,1200
63516,1106,5,1110
40171,5177,6,150
37821,393,13,270
36865,8182,14,150
36599,2264,11,180
36433,5145,6,90
35928,4234,2,180
35406,1125,5,30
34172,5763,4,90
47201,243,12,840
39341,1045,23,1140
38075,621,13,1080
37977,2917,1,1350
37565,446,22,30
37444,866,6,300
35374,528,4,960
35175,870,4,780
33937,757,5,960
33610,448,7,930
21232,753,0,810
14085,138,5,1350
13412,277,1,150
12372,213,2,330
11961,215,5,450
11136,94,0,0
10854,260,2,1380
10707,192,0,900
10624,266,0,1200
10394,244,11,30
8169,343,4,1080
8146,684,1,960
7794,325,22,960
6539,346,1,900
6091,696,3,960
5465,283,5,780
4712,444,1,0
4668,113,0,0
4620,285,5,630
4547,195,0,1080
55606,1725,0,960
41226,3348,0,750
39071,277,0,1200
25280,1309,22,270
22546,1284,7,1200
20773,1678,5,630
19783,895,0,1170
19673,2489,0,510
18815,795,3,180
92547,6186,20,600
66289,530,3,810
65149,752,5,1050
62437,3618,23,900
58389,865,3,1110
56132,1285,5,900
47542,1288,4,840
47259,2855,7,960
47260,1401,10,390
62094,2090,8,60
55839,9778,0,1140
53123,832,2,1320
49919,4357,29,1380
48696,836,20,1050
40204,1044,0,1380
32263,1172,7,750
31475,1828,2,210
29143,1239,1,990
28999,1538,2,1020
40708,133,3,1170
12465,268,27,840
2765,19,1,750
1990,127,0,30
1837,33,0,270
1790,73,3,660
1736,435,0,1170
1548,61,1,990
1530,0,0,30
1420,1198,0,1410
13343,2410,0,750
12228,3279,2,1080
11881,78,1,240
9789,488,0,1080
9732,376,0,870
8965,1127,0,720
8807,2838,2,1200
8525,2971,2,1080
8052,639,0,690
8030,182,1,1350
78953,1013,5,840
76595,1195,6,990
62061,918,17,960
56728,681,4,420
49776,1719,1,720
49355,646,2,870
47895,743,4,870
47543,618,5,330
47021,724,3,1140
46168,186,6,720
7989,222,1,150
6194,155,0,1110
5435,147,0,1020
4904,244,0,960
4750,81,1,1020
4696,134,0,1170
4680,130,1,990
4676,95,0,1380
4640,197,0,1200
4633,186,1,1110
79129,1359,32,1350
52246,590,5,1110
50968,786,9,150
42467,1060,3,1350
41807,11519,3,960
41053,1244,1,1200
38854,3498,9,780
38766,601,11,750
35653,815,3,1260
33215,702,1,1080
22660,3030,3,1230
22307,0,0,120
20806,232,0,330
18903,4102,2,1200
18879,364,1,240
14052,732,0,1020
13503,1092,2,1350
8897,757,0,930
7874,754,0,1020
7218,445,0,1260
13089,8159,1,300
9316,966,0,660
8430,571,0,270
8303,4084,4,1230
7468,708,4,1050
7307,328,0,510
7097,451,3,1020
7037,512,4,1140
6977,2671,4,240
6691,13080,0,1380
12901,455,108,1020
10165,185,8,1200
8342,533,4,1170
7593,465,3,690
7562,65,2,1020
6930,324,1,900
6897,295,2,0
6661,168,3,930
6221,78,9,1380
6201,111,0,1110
89901,962,63,780
74110,816,30,1320
69285,850,12,900
69228,888,8,510
56047,1146,13,720
55646,1692,10,180
55377,1360,14,960
55163,635,17,1080
53337,1120,11,960
51657,1632,0,570
1974,212,4,1260
1964,333,0,1080
1933,157,0,1140
1840,397,0,150
1710,190,0,1050
1545,290,5,750
1511,172,0,780
1460,125,0,1320
1434,42,0,990
1419,97,0,690
4112,269,1,930
3356,116,0,1380
2700,457,0,990
2591,161,0,990
2304,148,0,1260
2301,207,0,210
2124,162,0,870
1872,158,0,990
1744,131,0,1290
1697,69,0,930
59588,456,7,1110
43143,495,3,120
35042,184,14,1380
34517,457,3,1380
32987,306,5,1170
31980,321,4,300
29462,141,0,900
29268,511,5,0
29250,237,1,1020
28806,306,6,720
9475,341,2,1260
9364,21,1,720
7795,741,4,360
7411,550,0,540
7089,699,2,690
6635,1049,1,720
6206,240,2,330
6190,383,0,1110
5472,2624,2,630
101813,4381,33,810
88411,6812,14,720
45260,2580,15,1350
43912,4466,5,1140
41952,4957,4,840
35988,4393,36,1080
29211,2361,0,810
27701,1605,6,930
27519,2822,2,120
26575,5649,6,960
3046,935,0,1170
1729,470,0,1170
1649,74,4,630
1555,52,0,1050
1486,90,0,570
1292,40,0,900
1283,249,0,1140
1183,83,0,960
1186,268,0,1170
1146,77,0,1410
23890,294,3,1050
22521,579,5,900
22372,953,3,630
21965,829,5,1260
21839,509,1,660
20683,1049,11,1050
19673,541,4,750
19099,801,3,960
18952,1357,1,780
11032,1474,3,600
6338,792,7,0
6235,342,4,720
5068,592,2,180
5015,314,2,420
4956,528,2,510
4918,301,4,150
4799,650,2,90
4792,592,3,270
4734,200,7,1380
303723,3061,49,990
271675,2782,30,660
250241,4677,34,1050
248541,1771,46,990
241489,1661,27,630
235937,2726,4,870
232092,1629,35,690
221468,1285,34,810
221041,1503,8,660
218799,706,24,900
35102,1114,7,750
19652,273,6,870
17200,952,1,900
11213,397,3,1230
10526,182,3,840
10338,287,5,120
9233,775,4,1140
7478,179,0,390
7362,86,2,1260
6557,585,0,1230
15941,384,1,1380
14489,287,1,1140
14390,247,3,1200
11200,204,0,1020
11131,705,0,750
11005,886,2,1200
11000,399,0,1290
10853,258,0,900
10361,177,0,780
10234,278,0,930
7584,363,28,810
5623,753,11,390
4316,268,10,660
4226,417,0,1050
3442,439,1,150
3422,951,1,660
3401,173,8,630
3388,329,2,930
2785,399,5,1230
2585,377,1,1380
22849,651,8,840
21037,326,8,1200
17874,387,4,1230
15609,381,8,240
14348,390,0,1200
14235,128,2,1020
13606,295,2,990
11620,350,4,1260
11314,191,0,570
10587,312,3,60
47604,105,1,90
20198,453,0,1020
16027,438,3,1200
12310,254,1,750
11184,162,1,930
8630,188,0,360
7249,105,1,990
5622,205,0,1260
5354,226,23,240
5220,624,0,1050
68826,1431,8,1290
17191,196,0,810
16304,803,9,1020
15740,1122,10,30
14688,409,1,1050
11258,319,0,1020
10913,128,6,60
10226,386,1,60
10043,242,0,180
10024,344,0,1410
55162,1980,8,1170
45377,499,1,840
43768,316,0,1080
40643,1774,6,630
27745,342,5,990
26960,267,1,270
25843,215,1,1020
24411,496,7,30
24091,523,1,750
23359,207,4,660
1269,591,0,150
1069,305,0,840
1060,268,0,60
1015,142,1,1290
980,266,0,210
941,228,0,1350
859,185,0,1290
851,148,2,780
838,141,2,60
731,122,0,870
1343,123,0,1200
1193,105,2,90
1181,237,0,510
1129,232,0,300
1087,107,0,1170
994,47,0,840
991,351,0,1110
938,412,0,240
866,122,0,270
866,130,0,1170
898,293,1,270
760,225,0,660
676,59,1,900
672,239,0,1230
654,371,0,990
597,111,0,1410
582,203,0,90
524,162,0,930
524,156,0,1170
508,67,1,1050
12033,288,2,480
9487,186,0,540
7904,460,1,540
7387,328,1,960
6789,196,4,360
5282,127,4,570
5064,173,3,660
4637,437,3,990
4495,249,2,930
20236,295,2,300
14015,253,15,990
9640,190,4,1260
8164,75,1,810
7922,419,2,1200
7602,349,2,1380
7506,165,1,1380
7356,847,0,810
6995,192,2,1080
6607,104,0,1230
19094,82,1,450
11819,1880,3,1020
11011,427,2,780
9774,1063,2,1020
9331,368,0,0
8983,188,1,1320
8677,203,2,1410
7614,172,0,1320
7548,504,8,0
7476,237,0,1230
34914,272,0,30
6907,317,4,1110
5126,271,16,120
4125,172,4,930
3762,150,1,660
3657,127,2,1200
3435,111,0,810
3267,54,3,840
3249,103,0,1260
3113,74,4,840
41407,1339,3,1230
24873,1606,6,540
23222,2546,0,750
14331,368,4,840
10404,427,0,720
8841,467,0,540
8599,202,0,720
8117,222,0,540
7518,698,3,780
7291,141,10,720
31342,836,3,1020
8866,190,2,1350
8699,403,1,1410
7183,69,3,1020
7052,322,3,1200
6608,102,1,1290
6367,102,2,960
6351,282,0,30
6015,55,1,1320
5844,104,2,210
89037,1990,0,0
71231,1906,0,90
53304,805,0,900
52725,612,0,150
47821,394,1,1020
43325,488,2,240
42273,1421,0,1230
41737,886,0,1380
38341,2045,3,1380
16677,254,8,1380
16111,322,4,1050
13953,206,2,750
12973,152,9,780
12462,149,17,840
11858,113,5,1350
11495,155,1,510
10766,128,7,1170
10732,95,0,810
10472,143,7,960
30016,2080,13,180
19044,164,1,630
14959,191,0,1230
14405,164,2,570
14033,444,1,30
13835,195,4,960
13551,574,2,1350
13222,149,3,210
12763,230,0,480
66507,878,3,1050
62497,1027,5,900
37634,805,2,1260
29587,1037,0,30
28245,422,2,1080
26672,919,2,960
22272,489,1,1290
17782,187,5,1170
15209,310,1,1140
13055,498,1,1020
16520,2666,3,1380
14518,1583,2,1230
10109,431,1,180
8698,922,2,780
6088,255,2,150
5145,465,2,1350
5101,375,0,810
4899,1196,0,1200
4825,1417,0,1350
4342,993,1,1230
13702,797,2,1020
10364,362,1,1230
6643,473,7,1050
5934,1400,4,870
4178,595,4,690
3911,813,6,1020
3893,493,0,1200
3669,391,10,1020
3499,470,0,1110
3451,535,7,1230
8928,667,0,960
4171,165,1,780
3883,223,0,1110
3325,69,1,60
3314,187,3,1140
3258,269,2,660
3223,299,2,900
3215,184,1,1050
3111,65,0,30
3082,49,0,720
37787,1152,1,60
15070,3229,2,840
9968,503,1,1110
7564,303,1,780
7529,512,0,1170
7122,1016,1,810
6419,880,0,900
6186,297,2,1200
5917,622,0,900
5705,699,1,930
11922,888,1,1380
9910,248,7,1050
9468,93,3,1350
8891,222,1,1350
8448,152,0,180
7633,348,0,180
7539,269,3,1380
7475,714,0,1290
7200,214,4,150
6721,273,2,690
45446,1233,3,150
41909,1336,2,990
40949,2803,53,750
38689,1775,2,1020
37713,1852,2,1380
33554,2845,2,900
33305,1243,3,1230
32913,3203,0,870
32496,2345,2,960
29836,3770,0,810
67014,1281,28,810
63445,699,6,630
61887,1552,0,840
61512,1006,5,870
59657,1183,3,1140
55398,739,35,1050
49529,1272,6,960
45021,661,20,870
44810,732,15,1140
43526,812,3,1080
39969,3736,2,750
30055,2789,0,1350
23456,3284,2,1200
19327,805,0,1110
18171,3481,1,960
15154,2503,0,1290
13939,1231,0,1350
13601,947,0,840
13278,538,0,1020
12874,2227,0,1350
18817,12625,4,120
16855,694,2,660
15703,959,2,870
14415,221,1,870
13365,916,4,1020
11744,234,2,990
11178,362,0,1200
9437,307,6,990
8684,408,0,300
8508,1347,2,540
31790,497,1,150
28444,645,1,960
22053,557,0,1380
21119,404,0,720
15389,480,6,630
13977,216,0,30
12961,232,0,60
10743,300,0,0
9762,236,0,810
7881,250,5,30
6030,186,0,1140
2995,97,0,360
1867,37,2,1140
1866,58,0,810
1115,28,0,30
1075,23,4,1110
879,88,1,420
783,18,0,210
770,32,0,210
746,92,0,720
13006,567,3,360
8121,123,3,60
5133,54,0,60
4392,319,2,840
2916,141,4,1140
2890,59,2,330
2765,103,0,1290
2700,36,2,0
2555,41,0,1140
2396,71,0,1080
131720,1240,18,1140
126020,4123,21,870
125325,2326,15,1050
116996,2955,20,1260
115149,2953,13,660
112759,2760,17,690
110998,1685,23,1200
110090,1723,12,1380
106745,1458,9,720
106497,2827,8,1320
83381,1177,2,1170
65837,1650,4,300
51927,2899,23,1080
39288,1186,0,150
37677,966,2,990
34358,3061,7,900
32569,928,0,930
32343,1603,0,1110
31414,1647,0,1200
28891,2516,0,840
77513,1649,10,960
73924,4684,25,1050
68608,9358,1,300
59004,5090,3,240
52551,1230,8,1140
48135,1488,2,960
41386,2164,9,210
40139,454,6,0
39657,875,10,1410
37867,612,7,0
12698,660,1,810
7460,340,2,1260
5627,424,0,1080
5573,425,3,630
5516,228,0,1290
3988,78,1,690
3949,287,5,1050
3825,104,0,1020
3730,218,1,1050
3736,213,0,540
14797,972,0,1050
3819,46,1,960
3590,133,0,1290
3507,167,2,540
3483,142,1,240
3458,169,3,1230
3185,53,0,870
3184,199,0,1050
3033,88,0,240
23929,2748,1,960
21762,8377,0,30
21747,846,3,1050
21099,2394,0,960
20001,2858,0,1020
18117,376,1,870
17648,7254,0,0
17492,7031,1,30
17039,3079,0,0
16910,994,0,1110
6223,207,1,1140
4294,202,3,1290
3932,171,4,1020
3720,211,0,1140
3348,415,5,900
3218,157,3,750
3153,86,0,930
3152,473,2,840
3057,197,0,840
2908,516,1,570
5678,128,0,960
4085,154,13,180
3722,138,5,1230
3445,198,4,1290
3395,129,3,690
3206,144,3,720
2988,144,4,630
2730,279,3,720
2656,121,4,870
2649,173,1,540
138603,78597,0,780
80724,1350,23,930
77547,789,13,570
75112,2257,14,870
69880,26919,0,0
67935,978,7,1020
64847,767,11,990
58726,2411,9,720
58168,1562,18,1170
58060,2144,19,990
23648,275,2,750
23368,1214,1,180
22548,319,15,720
21592,530,0,930
20061,661,0,690
19718,1746,0,990
19329,630,0,780
17270,138,1,1020
17149,181,2,840
16633,274,0,840
45629,6226,4,60
40112,3554,9,1260
35200,4629,0,180
34454,13225,1,210
34235,639,1,1380
33618,993,2,1200
31203,9332,22,90
30816,8869,11,1200
30542,2260,1,30
30219,1,1,30
5626,1188,12,1050
5247,186,1,1260
4736,787,12,900
4465,156,0,1320
3776,131,1,930
3370,101,1,1110
3235,87,0,1170
3122,142,3,1050
2907,132,0,240
2880,52,1,0
5717,284,0,1020
4934,241,1,120
4204,142,0,960
4071,145,0,240
3973,204,1,390
3798,178,0,1380
3795,38,3,510
3672,168,1,1260
3614,95,4,1050
3406,158,0,1140
18596,148,1,510
11151,93,8,900
6263,1404,3,30
5569,57,1,510
5082,218,3,150
4763,324,1,240
4193,188,1,300
3944,166,1,1050
3876,202,1,1140
3850,42,0,690
5718,38,8,690
5712,50,7,900
5700,42,2,30
5701,62,2,900
5500,39,7,1140
5061,53,3,570
4990,53,5,450
4933,29,4,930
4872,43,3,1080
4855,53,5,900
31889,1186,3,1230
24341,3552,4,750
17006,501,0,900
10572,690,0,900
9209,277,2,90
8785,232,0,0
7719,2413,2,1170
7577,393,0,30
7438,565,0,1320
7319,304,0,540
15427,1293,0,1080
6474,749,0,1350
6391,771,0,420
3400,319,0,1080
3288,295,0,1320
2982,284,1,720
2956,82,0,480
2924,805,0,930
2692,165,0,720
2541,424,0,1230
36886,772,8,750
25434,1109,0,870
18898,694,4,1020
15429,1278,0,0
15128,264,1,750
14010,735,0,1020
13673,408,1,1110
12865,437,1,960
11381,537,5,390
10958,736,0,420
32703,645,1,600
23872,331,0,0
15769,443,3,0
15757,198,0,720
13406,251,2,780
13168,124,0,870
10842,225,0,120
9198,263,0,1320
8609,245,3,930
7866,259,1,90
36722,409,30,660
25668,427,12,300
21577,513,5,570
17530,158,3,30
17157,279,19,360
15768,171,13,450
15175,153,2,0
15152,91,8,60
14796,220,2,540
14769,125,4,690
22153,513,0,1410
20646,309,1,840
18167,518,0,0
16100,561,0,1350
14875,370,0,330
13869,112,0,510
13197,249,0,180
13167,443,0,1380
12786,216,0,1140
11742,322,0,30
25888,706,1,1230
14923,1783,3,930
12941,479,0,960
11379,319,0,1290
10872,867,0,810
10595,823,2,810
10318,321,0,1320
9887,778,1,930
9740,406,0,870
9255,737,1,930
14318,419,8,1050
8613,269,5,0
8483,41,0,780
7552,666,0,180
7399,186,2,1080
7055,224,4,720
6919,316,3,1380
6627,142,0,930
6398,166,3,780
5375,140,0,240
13790,862,1,1230
11753,1105,1,570
10788,2270,0,90
9935,2280,1,150
9724,567,1,450
9217,804,10,1380
9134,1068,2,810
8923,1755,0,1050
7777,1282,1,960
7770,841,0,1380
177471,4432,21,1320
143614,4124,14,570
126723,2850,11,840
123781,4159,16,1200
123530,7046,12,90
115067,4039,10,840
114314,2073,7,1020
112135,2742,9,1020
109358,3100,36,120
108308,7172,15,60
58349,2278,14,1200
57600,1650,3,90
56995,1664,3,60
51598,426,1,960
50293,877,7,1170
46621,1353,6,1380
43499,108,0,30
40010,916,3,30
39691,588,1,1320
39573,1243,3,1080
9553,638,23,1380
9507,335,1,1260
9425,366,2,0
9257,682,1,150
8886,518,2,60
8693,705,4,1290
8358,270,0,990
7930,386,2,1320
7835,607,1,960
7800,267,1,570
37859,6163,0,840
32100,4690,3,840
22368,2858,0,870
21697,1551,4,960
21158,1547,0,1080
19637,753,0,900
18610,1528,1,960
18433,380,1,60
18077,3505,1,1350
17094,1337,0,840
50374,2867,26,1200
40689,1613,3,120
32158,1514,0,930
30786,2462,4,1050
27165,971,7,930
26693,2307,12,1290
25714,803,1,1170
23241,1027,2,60
22713,439,1,180
20711,1163,0,900
106523,12188,28,1170
99267,12073,26,90
94425,4117,11,1110
89108,4239,35,1050
83547,7121,13,1350
72725,4070,14,30
69553,16607,5,1200
67886,4449,5,900
67198,6393,8,300
65789,5565,9,90
48463,635,3,570
45872,261,1,1140
44854,1073,0,1020
42181,3985,9,420
30469,731,0,1170
24270,350,0,1170
21267,410,0,1020
20971,786,0,570
20846,265,2,690
20801,220,0,810
2436,329,0,120
2062,122,0,900
1696,274,3,750
1588,105,3,240
1426,385,0,1110
1161,238,0,450
1062,115,4,120
1048,186,2,1170
945,207,1,1050
931,75,4,990
46456,382,0,930
37257,299,1,1110
35731,808,1,1050
35022,1579,0,1080
33949,746,6,870
30071,833,0,780
28975,576,1,990
28965,232,0,1350
25939,787,0,990
13638,670,5,120
12361,566,4,960
12038,370,11,990
11133,329,5,1200
11046,228,2,1410
10191,239,4,1290
10105,397,1,720
24633,7979,6,1170
22271,300,0,630
18547,1100,0,810
16857,237,0,690
12789,1563,0,1200
11508,1498,1,1050
9947,300,1,930
9876,239,3,1410
8842,1151,0,1320
61651,3347,2,750
43702,1055,0,1410
39683,2091,0,660
36445,1325,0,1050
32320,589,0,1170
20835,9605,25,1020
20155,919,8,900
15064,1500,0,930
14195,788,0,600
11896,840,1,1050
11476,291,7,1200
10766,676,4,1290
10597,599,1,90
7552,162,3,1410
7438,224,3,690
6766,144,1,60
6363,111,1,1170
6037,67,1,990
6027,166,3,900
5629,85,1,840
6003,305,4,780
4601,207,1,60
4264,288,8,90
3724,717,0,900
3346,184,0,1290
3316,163,0,330
3276,327,4,780
3155,107,0,1080
3114,213,1,630
3015,226,3,1080
51399,495,0,1320
48202,384,0,1020
40772,458,0,900
27564,311,0,720
27187,633,0,150
23557,276,0,420
23431,293,0,960
21471,310,0,60
14539,408,2,1080
14197,268,0,90
30773,600,1,1380
23653,2151,7,60
14629,1663,0,330
13440,896,8,480
10052,210,0,870
8210,1376,0,1080
7513,203,3,180
6457,205,1,30
6338,295,0,840
5539,51,0,990
278,8,0,990
204,14,1,960
181,10,0,870
178,6,0,990
169,3,1,180
163,5,0,210
155,4,1,1260
154,1,0,360
153,4,0,1380
147,5,0,1230
8271,108,1,690
7902,408,1,570
7605,295,35,720
5973,372,0,780
5069,179,0,960
4620,215,0,960
4347,89,1,600
4320,56,0,780
4075,57,1,840
3836,126,1,1290
51014,2391,6,30
37295,822,0,990
34687,1062,1,1260
32635,598,1,1290
26835,1010,1,1230
25685,613,0,1110
24326,321,3,150
23535,740,3,270
23381,1500,7,1080
20901,1720,24,900
57763,534,10,780
114157,9221,14,300
111451,6072,138,810
111412,2545,25,1020
102314,2106,12,780
94356,2129,12,660
91243,4535,15,30
90017,3843,29,840
89910,4486,86,450
81932,2121,16,30
81736,3058,66,780
164957,3914,26,30
156502,1811,11,90
155081,3289,17,240
151337,7825,19,810
149993,4246,11,60
149728,3148,22,30
148134,5242,13,1110
144879,2753,12,1020
144414,7033,31,840
143760,5535,23,120
18432,332,3,750
10165,255,0,960
8939,466,0,870
8777,100,0,1320
7097,85,2,840
6910,197,0,810
6497,944,0,90
6198,204,0,180
6041,65,1,300
5967,103,3,780
43769,578,8,900
32924,867,1,810
32720,2479,3,0
30284,232,3,930
25282,124,0,1260
21690,289,1,1110
19729,527,0,450
19271,328,0,1170
18983,572,1,870
18270,406,0,780
9478,379,7,1260
7757,579,4,690
6625,350,3,480
5947,171,0,1110
5155,259,0,390
5055,366,2,1260
4959,280,8,1350
4756,139,2,510
4676,263,1,120
4380,221,1,810
32100,980,3,30
29227,662,1,900
18941,185,0,1020
17876,159,1,1080
17437,252,2,1020
16962,239,5,30
16536,768,0,270
15289,240,1,1260
14744,1011,1,840
14605,444,0,1290
1478,267,2,120
1435,139,1,840
1299,120,0,690
1229,505,0,1050
1205,292,1,270
1069,217,2,960
977,135,0,60
973,112,1,1140
932,271,1,0
910,343,2,1230
31159,201,4,1410
25915,823,2,240
23193,826,3,1110
20898,458,3,780
19890,763,0,840
17506,294,1,810
16369,303,0,210
16143,184,3,1320
13442,360,2,30
12244,293,1,870
7325,751,0,120
2532,180,1,1230
1823,152,1,990
1799,266,3,1260
1788,142,0,1050
1668,172,0,960
1655,85,3,210
1604,69,0,780
1595,39,1,690
1553,172,0,570
61162,119,1,60
25682,1933,0,60
17665,535,0,90
16519,439,0,150
16202,479,6,900
15423,225,0,1020
14868,2126,0,930
13709,644,3,900
12794,247,1,990
12442,344,0,1110
16460,270,2,540
14988,519,1,690
7389,528,2,150
7173,391,9,780
6670,192,9,180
6501,327,8,960
6302,567,18,1020
6147,272,3,870
5977,168,3,1290
5273,85,0,30
75460,607,14,1410
62173,2404,5,1290
56231,2325,23,1350
55457,840,17,1170
50768,1629,32,930
46160,4226,4,120
44439,3671,1,1050
41964,3548,2,1050
39519,1924,1,810
37071,2023,0,990
264861,12574,242,930
204190,5619,155,1020
199235,2537,59,450
197335,1953,41,990
192054,4201,67,1260
185136,6274,44,870
183796,8104,68,150
176762,2915,17,1170
175518,1782,109,840
174749,7367,38,1050
14925,218,4,1290
14754,256,4,1020
14004,519,5,930
13253,526,0,900
12763,483,5,1080
12593,234,1,330
12424,255,4,1020
12406,200,1,420
12363,457,7,870
12258,159,1,0
38016,394,3,720
32956,275,0,1140
32132,392,3,720
31309,628,1,270
29522,352,0,660
29498,296,0,1110
29449,384,3,660
29123,405,1,660
28898,299,0,0
28756,221,0,1110
33300,756,1,1290
33214,435,2,960
27466,390,0,1170
23714,249,1,720
21295,203,1,1260
21250,491,1,390
20906,429,9,0
20609,455,1,600
20414,1240,1,1230
20326,235,1,30
4194,133,0,1200
3636,288,0,30
3040,79,0,630
3023,76,2,330
2913,94,1,1050
2712,476,1,900
2699,156,4,960
2531,93,4,1320
2508,162,2,930
2403,174,0,990
28807,1567,6,840
23915,496,4,180
19673,316,12,1110
17049,151,2,810
14891,278,6,270
14563,311,10,570
14414,431,0,1200
14290,318,9,900
14120,613,1,900
14107,106,1,930
5411,53,2,330
5091,22,1,1410
5046,62,3,1110
4708,110,9,1080
4632,23,1,750
4533,62,0,1380
4516,63,2,1110
4463,38,3,30
4461,121,1,90
4227,104,1,780
34618,579,10,120
30373,428,10,1020
28981,450,8,1290
26190,397,2,900
25087,331,1,810
23538,234,2,960
22058,599,0,810
21914,730,7,660
21641,278,5,150
21294,280,2,990
28027,374,1,990
26380,1067,7,180
18257,310,3,120
15230,365,0,960
12625,177,1,1170
11217,138,1,90
9621,158,0,1380
9046,188,0,30
8954,202,1,60
8572,396,1,750
46586,1415,7,690
45045,496,6,840
41453,1664,5,930
40215,1660,0,720
36090,379,0,1110
34105,305,0,930
33866,1561,1,1260
33422,497,3,540
31547,886,2,990
31115,1737,0,690
9528,1907,3,900
7850,1230,5,900
6862,0,0,1140
6828,993,2,960
6326,602,0,1110
5786,517,0,840
5643,673,0,1020
5523,336,0,1080
