score,comments,crossposts,time_in_minutes
24605,2150,8,1020
24193,2135,3,810
23609,3068,0,660
23259,1475,3,690
22787,2722,4,90
22590,2354,2,750
21546,2986,6,750
146528,1729,4,1230
105521,3375,17,960
100378,4252,4,1020
96138,7602,25,1290
89957,7567,0,1110
87203,1955,0,1320
85217,1898,12,60
84687,4282,6,1290
84237,2811,7,150
80482,4116,17,1260
37710,1254,2,540
33812,1766,13,180
32038,625,3,1320
31594,694,17,690
30866,422,9,990
30365,2488,5,660
29680,576,21,780
28914,1066,35,900
28084,1335,4,630
27790,569,3,180
1153,210,6,870
1096,253,8,1080
868,130,3,960
789,208,3,1140
777,170,1,840
737,337,2,630
661,76,4,1170
649,209,2,390
648,95,6,1050
639,138,4,1260
8868,128,1,240
7663,82,10,780
6268,117,10,690
5426,212,1,540
5276,96,0,300
4655,100,7,510
4510,67,2,510
4379,140,0,1380
4031,144,2,270
3787,552,0,1200
45765,1254,6,1140
42504,488,4,810
42202,537,10,1140
35902,1086,3,1200
25140,386,11,1320
24353,377,3,30
23241,638,1,0
22816,1034,5,930
21131,985,2,270
21067,572,2,1410
41524,795,5,1140
13090,342,5,720
11103,721,1,90
9934,394,7,30
8197,374,4,960
8199,485,16,1080
7855,200,4,0
7846,298,7,600
7792,1721,6,480
7647,160,1,360
100845,5334,54,1080
83764,1614,5,810
78019,1770,32,990
73640,533,19,750
70915,1832,4,720
69954,2577,12,990
68554,2455,6,750
65456,1782,9,930
64228,1254,6,150
60852,3030,6,780
7774,823,2,300
3314,67,0,1050
2987,335,2,1230
2305,1101,0,1080
2182,159,0,1290
1895,126,0,1050
1796,258,0,120
1797,96,0,1260
1779,267,1,1350
1701,182,0,1140
8979,805,0,240
6240,1134,0,60
5515,105,6,1290
5339,198,0,150
5086,454,1,870
4926,315,2,120
4871,111,2,990
4857,396,0,900
4819,85,2,1380
4797,204,0,1230
7622,231,0,60
5455,342,0,1260
4770,533,0,300
4178,142,4,780
3724,270,0,660
3497,103,3,690
3436,71,3,1380
3333,431,1,450
3266,100,5,1050
3261,93,1,1140
39767,750,2,780
25845,71,1,720
19904,136,1,690
18091,136,1,840
16424,189,3,840
15664,171,2,690
15209,145,1,510
14478,413,1,750
14013,688,0,780
13841,163,0,540
33597,120,0,450
15704,3311,0,1230
14418,288,0,1080
14371,1134,0,120
13938,661,0,870
9672,245,0,1050
9258,358,1,1260
9048,658,0,1170
8653,816,0,960
8625,704,0,1080
2643,286,1,690
2240,283,0,840
2099,225,5,1110
1839,767,2,1170
1328,111,0,1140
1193,108,1,1320
1147,79,0,1020
1133,239,2,240
1125,600,1,1290
1076,90,1,1080
307868,2449,75,180
283486,4951,167,1050
263003,8748,106,1200
236779,4780,56,1170
226236,2825,35,1110
220423,2466,68,1110
219290,1570,66,1380
217072,1849,31,1170
211425,2799,49,1170
206283,2509,36,780
21164,369,2,810
17679,153,5,1020
10165,56,0,180
9563,85,2,930
9469,202,0,900
7976,45,0,930
7964,117,0,180
7723,334,0,1260
6895,315,2,1050
6561,164,0,1260
9694,168,2,1050
6821,272,0,1050
5894,243,4,720
4056,113,4,1410
3543,50,1,1110
3049,142,1,120
2894,75,3,870
2853,154,0,90
2851,87,1,660
365132,28936,86,990
247665,28317,44,1260
233323,33914,85,300
226331,9546,33,1260
222363,11842,10,810
213680,20438,38,1170
200815,5425,43,1050
188185,6885,12,240
186246,9972,27,720
177994,10815,4,1020
16743,549,1,1110
16599,559,5,1230
15300,956,1,630
13572,524,1,1230
12823,442,3,810
12779,579,6,840
12559,596,3,1410
12269,546,0,90
12260,613,0,0
12126,485,2,600
349287,4498,54,780
195131,9823,23,120
155334,11058,24,1080
141541,14811,7,300
140688,6793,24,750
130220,2825,2,1260
126365,4010,10,1110
121723,9919,23,1200
121072,2970,12,1140
117537,2497,10,1140
82664,1885,26,960
72401,1126,1,0
70283,2656,1,900
70017,1161,0,1020
69086,600,0,1350
67259,1108,0,720
66396,2909,103,1140
60555,7630,1,900
60370,1525,9,60
59150,1747,7,840
8036,279,5,810
7718,124,0,1230
7386,243,2,1050
6239,651,1,1050
6115,370,3,930
6090,334,1,960
5536,62,4,780
5297,112,0,900
5225,106,3,1200
5151,178,19,30
54066,2808,13,690
40204,601,1,870
38368,450,17,750
33094,537,5,510
32240,1613,3,660
31467,489,0,210
27368,507,9,660
25476,435,1,1380
24942,358,5,480
24528,185,3,750
36287,1832,3,210
30237,6098,2,60
22696,11024,6,30
19303,1231,0,480
17933,4192,0,720
13827,1183,1,150
9344,5184,1,1200
8905,92,0,780
7333,264,6,1110
7340,911,0,90
62109,1527,2,720
38216,103,2,270
25410,791,3,810
17230,811,0,360
15272,200,0,1290
14424,490,2,1410
12461,1082,0,1140
12179,1508,2,720
11799,213,0,1110
10412,244,1,930
27383,1046,2,1050
21606,2316,5,1230
21344,692,7,0
19568,2064,2,330
16064,412,4,1320
15888,415,2,900
15862,1082,4,660
14975,226,3,720
14845,1008,5,780
14747,618,1,780
179179,2087,7,120
104907,5687,14,990
78498,2541,18,870
70018,903,12,900
66697,1807,1,930
64324,4520,0,150
63659,1545,16,1140
61270,1423,1,1020
60963,1144,2,720
60152,2877,14,780
124067,5203,14,960
110741,4134,24,960
106789,7051,51,570
101668,6464,22,450
95210,2512,19,990
93672,1064,7,630
89449,2948,64,540
86321,2459,29,1080
78899,3780,28,870
78380,2671,41,480
66904,2098,54,30
44619,1406,1,1050
38988,1628,12,780
38319,815,2,720
36973,1077,4,600
34568,1493,10,1080
34499,1223,6,30
34226,2112,3,720
34005,5338,6,780
13057,1546,9,60
7017,422,1,1230
6929,776,2,1050
6161,131,0,180
6106,494,1,1410
6046,469,3,720
5715,263,1,1320
5577,216,6,120
5540,424,0,900
5487,248,2,1050
53406,1308,5,1080
45333,1267,0,1320
41862,931,3,1230
37819,1178,2,1200
37137,392,3,900
36158,722,2,1020
35621,478,2,750
35249,611,0,390
35166,767,0,780
34298,485,2,450
53786,693,3,1170
38422,0,3,1290
35987,558,3,870
34915,449,1,930
34200,926,1,1110
34066,932,3,870
33454,1722,0,1080
32888,1,10,750
